"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214","Выбор языка","","Wed Jul 23 12:36:53 MSK 2025","passed","Wed Jul 23 12:36:53 MSK 2025","","test_lenza","",""
"","2349","Невалидные адреса электронной почты","","Wed Jul 23 12:36:54 MSK 2025","passed","Wed Jul 23 12:36:57 MSK 2025","","test_lenza","",""
"","176","Выбор языка","","Wed Jul 23 12:36:52 MSK 2025","passed","Wed Jul 23 12:36:52 MSK 2025","","test_lenza","",""
"","190","Выбор языка","","Wed Jul 23 12:36:52 MSK 2025","passed","Wed Jul 23 12:36:53 MSK 2025","","test_lenza","",""
"","313","Выбор языка","","Wed Jul 23 12:36:54 MSK 2025","passed","Wed Jul 23 12:36:54 MSK 2025","","test_lenza","",""
"","1256","Валидное название рабочего пространства","","Wed Jul 23 12:37:05 MSK 2025","passed","Wed Jul 23 12:37:07 MSK 2025","","test_lenza","",""
"","1457","Невалидное подтверждение почты","","Wed Jul 23 12:37:02 MSK 2025","passed","Wed Jul 23 12:37:04 MSK 2025","","test_lenza","",""
"","109","Проверка даты рождения","","Wed Jul 23 12:37:32 MSK 2025","passed","Wed Jul 23 12:37:32 MSK 2025","","test_lenza","",""
"","2063","Загрузка изображения невалидного формата","","Wed Jul 23 12:37:07 MSK 2025","failed","Wed Jul 23 12:37:09 MSK 2025","","test_lenza","",""
"","108","Переход назад из подтверждения почты","","Wed Jul 23 12:37:02 MSK 2025","passed","Wed Jul 23 12:37:02 MSK 2025","","test_lenza","",""
"","99","Переход назад из формы создания рабочего пространства","","Wed Jul 23 12:37:05 MSK 2025","passed","Wed Jul 23 12:37:05 MSK 2025","","test_lenza","",""
"","50","Проверка электронной почты","","Wed Jul 23 12:37:32 MSK 2025","passed","Wed Jul 23 12:37:32 MSK 2025","","test_lenza","",""
"","2286","Удаление невалидного E-mail из поля приглашения с помощью кнопки в поле ввода","","Wed Jul 23 12:37:18 MSK 2025","passed","Wed Jul 23 12:37:20 MSK 2025","","test_lenza","",""
"","74","Фамилия","","Wed Jul 23 12:37:13 MSK 2025","passed","Wed Jul 23 12:37:13 MSK 2025","","test_lenza","",""
"","76","Кнопка Начать","","Wed Jul 23 12:36:54 MSK 2025","passed","Wed Jul 23 12:36:54 MSK 2025","","test_lenza","",""
"","100","Копировать ссылку для приглашения участников","","Wed Jul 23 12:37:20 MSK 2025","passed","Wed Jul 23 12:37:20 MSK 2025","","test_lenza","",""
"","242","Год рождения","","Wed Jul 23 12:37:14 MSK 2025","passed","Wed Jul 23 12:37:14 MSK 2025","","test_lenza","",""
"","3537","Переход на страницу авторизации / регистрации","","Wed Jul 23 12:36:48 MSK 2025","passed","Wed Jul 23 12:36:51 MSK 2025","","test_lenza","",""
"","15","Кнопка 'Продолжить' интерактивна","","Wed Jul 23 12:37:13 MSK 2025","passed","Wed Jul 23 12:37:13 MSK 2025","","test_lenza","",""
"","10885","Приглашение участников позже","","Wed Jul 23 12:37:20 MSK 2025","passed","Wed Jul 23 12:37:31 MSK 2025","","test_lenza","",""
"","199","Выбор языка","","Wed Jul 23 12:36:53 MSK 2025","passed","Wed Jul 23 12:36:53 MSK 2025","","test_lenza","",""
"","206","Выбор языка","","Wed Jul 23 12:36:52 MSK 2025","passed","Wed Jul 23 12:36:52 MSK 2025","","test_lenza","",""
"","64","Имя","","Wed Jul 23 12:37:13 MSK 2025","passed","Wed Jul 23 12:37:13 MSK 2025","","test_lenza","",""
"","595","Невалидное название рабочего пространства","","Wed Jul 23 12:37:05 MSK 2025","passed","Wed Jul 23 12:37:05 MSK 2025","","test_lenza","",""
"","192","Выбор языка","","Wed Jul 23 12:36:54 MSK 2025","passed","Wed Jul 23 12:36:54 MSK 2025","","test_lenza","",""
"","177","Выбор языка","","Wed Jul 23 12:36:52 MSK 2025","passed","Wed Jul 23 12:36:52 MSK 2025","","test_lenza","",""
"","278","Выбор языка","","Wed Jul 23 12:36:53 MSK 2025","passed","Wed Jul 23 12:36:53 MSK 2025","","test_lenza","",""
"","2346","Невалидные адреса электронной почты","","Wed Jul 23 12:36:59 MSK 2025","passed","Wed Jul 23 12:37:01 MSK 2025","","test_lenza","",""
"","490","Проверка имени пользователя","","Wed Jul 23 12:37:31 MSK 2025","failed","Wed Jul 23 12:37:32 MSK 2025","","test_lenza","",""
"","212","Выбор языка","","Wed Jul 23 12:36:54 MSK 2025","passed","Wed Jul 23 12:36:54 MSK 2025","","test_lenza","",""
"","182","Выбор языка","","Wed Jul 23 12:36:52 MSK 2025","passed","Wed Jul 23 12:36:52 MSK 2025","","test_lenza","",""
"","385","Выбор языка","","Wed Jul 23 12:36:51 MSK 2025","passed","Wed Jul 23 12:36:52 MSK 2025","","test_lenza","",""
"","166","День рождения","","Wed Jul 23 12:37:13 MSK 2025","passed","Wed Jul 23 12:37:13 MSK 2025","","test_lenza","",""
"","150","Месяц рождения","","Wed Jul 23 12:37:13 MSK 2025","passed","Wed Jul 23 12:37:14 MSK 2025","","test_lenza","",""
"","223","Выбор языка","","Wed Jul 23 12:36:53 MSK 2025","passed","Wed Jul 23 12:36:54 MSK 2025","","test_lenza","",""
"","832","Валидное подтверждение почты","","Wed Jul 23 12:37:04 MSK 2025","passed","Wed Jul 23 12:37:05 MSK 2025","","test_lenza","",""
"","96","Переход к созданию рабочего пространства","","Wed Jul 23 12:37:05 MSK 2025","passed","Wed Jul 23 12:37:05 MSK 2025","","test_lenza","",""
"","3819","Удаление невалидного E-mail из поля приглашения с помощью элемента в тексте","","Wed Jul 23 12:37:14 MSK 2025","passed","Wed Jul 23 12:37:18 MSK 2025","","test_lenza","",""
"","2085","Кнопка 'Продолжить' забизейблена","","Wed Jul 23 12:37:11 MSK 2025","passed","Wed Jul 23 12:37:13 MSK 2025","","test_lenza","",""
"","211","Отправка приглашения","","Wed Jul 23 12:37:20 MSK 2025","passed","Wed Jul 23 12:37:20 MSK 2025","","test_lenza","",""
